omm_id	fecha	tmax	tmin	tmed	td	pres_est	pres_nm	prcp	hr	helio	nub	vmax_d	vmax_f	vmed	estado	num_observaciones
87178	1961-01-01	"\N"	22.4	28.9	23	987.9	"\N"	0	71	9.5	4	"\N"	"\N"	1.4	R	3
87178	1961-01-02	"\N"	23.8	30.5	23	988.9	"\N"	0	66	10.6	3	"\N"	"\N"	1.7	R	3
87178	1961-01-03	"\N"	20	28.8	21	988.5	"\N"	30.4	66	7.4	5	"\N"	"\N"	2.7	R	3
87178	1961-01-04	"\N"	18.5	26	21.7	990.7	"\N"	0	79	4.3	7	"\N"	"\N"	0.9	R	3
87178	1961-01-05	"\N"	20.2	26.1	21	987.2	"\N"	61.8	76	4.1	6	"\N"	"\N"	3.9	R	3
87178	1961-01-06	"\N"	19	23.2	20	990.8	"\N"	0	83	2.3	7	"\N"	"\N"	2.7	R	3
87178	1961-01-07	"\N"	18	26.2	19.3	992.4	"\N"	0	68	11	4	"\N"	"\N"	2.2	R	3
87178	1961-01-08	"\N"	20.2	29.2	21.7	991	"\N"	0	65	10.7	3	"\N"	"\N"	1.7	R	3
87178	1961-01-09	"\N"	23.7	30.2	23.7	989.1	"\N"	18.2	69	11.7	4	"\N"	"\N"	3.1	R	3
87178	1961-01-10	"\N"	21.3	24.3	23.7	993.1	"\N"	63.9	97	1.1	7	"\N"	"\N"	0	R	3
87178	1961-01-11	"\N"	20.2	27.8	21.7	994.6	"\N"	0	70	12	3	"\N"	"\N"	0.5	R	3
87178	1961-01-12	"\N"	20.6	30.9	24.7	992.6	"\N"	0	70	11.6	3	"\N"	"\N"	0.9	R	3
87178	1961-01-13	"\N"	24.1	31.4	22.7	990.4	"\N"	0	61	11.5	4	"\N"	"\N"	3.3	R	3
87178	1961-01-14	"\N"	24.2	30	24	990.5	"\N"	0	71	1.3	8	"\N"	"\N"	3.1	R	3
87178	1961-01-15	"\N"	24.9	30.9	24.3	991	"\N"	0	69	2.3	8	"\N"	"\N"	2.2	R	3
87178	1961-01-16	"\N"	25.9	32	24.7	989.5	"\N"	0	66	5.5	7	"\N"	"\N"	3.1	R	3
87178	1961-01-17	"\N"	21.9	29.3	24	993.9	"\N"	2.3	75	4.7	8	"\N"	"\N"	5	R	3
