omm_id	fecha	tmax	tmin	tmed	td	pres_est	pres_nm	prcp	hr	helio	nub	vmax_d	vmax_f	vmed	estado	num_observaciones
87765	1961-01-01	"\N"	6.6	"\N"	"\N"	"\N"	"\N"	0	"\N"	6	"\N"	32	18.5	"\N"	R	1
87765	1961-01-02	"\N"	6.8	"\N"	"\N"	"\N"	"\N"	0	"\N"	3.4	"\N"	32	12.3	"\N"	R	1
87765	1961-01-03	"\N"	6.1	"\N"	"\N"	"\N"	"\N"	0	"\N"	10.5	"\N"	31	13.4	"\N"	R	1
87765	1961-01-04	"\N"	6.3	"\N"	"\N"	"\N"	"\N"	0	"\N"	10.5	"\N"	32	15.4	"\N"	R	1
87765	1961-01-05	"\N"	10.1	"\N"	"\N"	"\N"	"\N"	0	"\N"	11.6	"\N"	27	18.5	"\N"	R	1
87765	1961-01-06	"\N"	7.1	"\N"	"\N"	"\N"	"\N"	0	"\N"	13	"\N"	32	12.9	"\N"	R	1
87765	1961-01-07	"\N"	9.1	"\N"	"\N"	"\N"	"\N"	0	"\N"	10.6	"\N"	32	12.9	"\N"	R	1
87765	1961-01-08	"\N"	8	"\N"	"\N"	"\N"	"\N"	0.5	"\N"	7.7	"\N"	29	19	"\N"	R	1
87765	1961-01-09	"\N"	4.3	"\N"	"\N"	"\N"	"\N"	0	"\N"	9	"\N"	32	20.6	"\N"	R	1
87765	1961-01-10	"\N"	5.3	"\N"	"\N"	"\N"	"\N"	6.2	"\N"	12.9	"\N"	32	26.2	"\N"	R	1
87765	1961-01-11	"\N"	6.1	"\N"	"\N"	"\N"	"\N"	0.6	"\N"	12.7	"\N"	27	23.7	"\N"	R	1
87765	1961-01-12	"\N"	6.5	"\N"	"\N"	"\N"	"\N"	0	"\N"	12.5	"\N"	31	19	"\N"	R	2
87765	1961-01-13	"\N"	5.8	"\N"	"\N"	"\N"	"\N"	0	"\N"	10.3	"\N"	32	20.1	"\N"	R	1
87765	1961-01-14	"\N"	7	"\N"	"\N"	"\N"	"\N"	2.5	"\N"	8	"\N"	29	19	"\N"	R	1
87765	1961-01-15	"\N"	6	"\N"	"\N"	"\N"	"\N"	19.7	"\N"	9.8	"\N"	32	24.2	"\N"	R	1
87765	1961-01-16	"\N"	2.2	"\N"	"\N"	"\N"	"\N"	6.4	"\N"	3.9	"\N"	32	21.6	"\N"	R	1
87765	1961-01-17	"\N"	2.7	"\N"	"\N"	"\N"	"\N"	0	"\N"	6.6	"\N"	32	21.1	"\N"	R	1
87765	1961-01-18	"\N"	7.9	"\N"	"\N"	"\N"	"\N"	0	"\N"	13	"\N"	32	18.5	"\N"	R	1
87765	1961-01-19	"\N"	10	"\N"	"\N"	"\N"	"\N"	2.1	"\N"	10.4	"\N"	27	16.5	"\N"	R	1
87765	1961-01-20	"\N"	4.7	"\N"	"\N"	"\N"	"\N"	0	"\N"	13.1	"\N"	32	12.9	"\N"	R	1
87765	1961-01-21	"\N"	2.6	"\N"	"\N"	"\N"	"\N"	0	"\N"	13.7	"\N"	32	12.9	"\N"	R	1
87765	1961-01-22	"\N"	0.4	"\N"	"\N"	"\N"	"\N"	0	"\N"	13	"\N"	32	19.5	"\N"	R	1
87765	1961-01-23	"\N"	11.1	"\N"	"\N"	"\N"	"\N"	0	"\N"	13.8	"\N"	31	11.8	"\N"	R	1
87765	1961-01-24	"\N"	0.3	"\N"	"\N"	"\N"	"\N"	0	"\N"	13	"\N"	27	8.2	"\N"	R	1
87765	1961-01-25	"\N"	6.9	"\N"	"\N"	"\N"	"\N"	0	"\N"	13.8	"\N"	27	10.8	"\N"	R	1
